2017-12-17 2017148 	 04 07 11 14 29 32 12 	 419,003,890 	 18 274 
2017-12-14 2017147 	 03 07 20 21 25 31 14 	 397,012,632 	 3 131 
2017-12-12 2017146 	 01 19 25 26 27 33 10 	 409,358,700 	 21 252 
2017-12-10 2017145 	 02 06 12 17 25 28 12 	 434,698,744 	 31 458 
2017-12-07 2017144 	 03 14 16 20 31 32 09 	 394,649,686 	 8 54 
2017-12-05 2017143 	 04 06 09 14 20 29 14 	 383,967,718 	 13 164 
2017-12-03 2017142 	 08 13 14 18 23 33 06 	 417,715,258 	 6 149 
2017-11-30 2017141 	 01 06 07 11 13 15 05 	 374,075,240 	 4 78 
2017-11-28 2017140 	 21 22 25 28 29 30 08 	 376,479,116 	 16 83 
2017-11-26 2017139 	 02 14 20 24 28 32 16 	 409,744,564 	 6 92 
2017-11-23 2017138 	 01 17 24 28 32 33 02 	 377,937,674 	 6 79 
2017-11-21 2017137 	 05 10 20 23 26 31 03 	 376,184,186 	 7 146 
2017-11-19 2017136 	 03 07 10 18 21 24 12 	 401,556,928 	 19 216 
2017-11-16 2017135 	 01 06 07 14 18 26 16 	 378,825,098 	 8 147 
2017-11-14 2017134 	 04 05 11 14 28 32 04 	 365,781,644 	 13 99 
2017-11-12 2017133 	 06 15 17 18 23 30 11 	 400,247,724 	 7 223 
2017-11-09 2017132 	 02 03 05 09 13 28 11 	 377,852,842 	 6 139 
2017-11-07 2017131 	 01 07 10 11 26 27 11 	 367,788,616 	 25 131 
2017-11-05 2017130 	 05 13 14 23 25 31 02 	 401,382,016 	 5 211 
2017-11-02 2017129 	 05 06 09 14 21 33 02 	 334,351,058 	 3 116 
2017-10-31 2017128 	 02 06 13 22 29 31 08 	 323,872,230 	 13 111 
2017-10-29 2017127 	 14 15 21 24 27 32 12 	 351,381,232 	 4 63 
2017-10-26 2017126 	 01 16 17 21 27 30 16 	 328,800,104 	 8 63 
2017-10-24 2017125 	 01 14 23 25 29 30 03 	 324,821,104 	 6 133 
2017-10-22 2017124 	 02 06 11 26 28 29 03 	 352,610,564 	 8 126 
2017-10-19 2017123 	 04 05 06 11 21 31 10 	 327,467,830 	 16 237 
2017-10-17 2017122 	 11 20 21 22 24 27 15 	 323,216,212 	 4 52 
